Item Code,Item,Year Code,Unit,Value
221,"Almonds, with shell",2018,hg/ha,42450
515,Apples,2018,hg/ha,394802
526,Apricots,2018,hg/ha,83636
366,Artichokes,2018,hg/ha,162543
367,Asparagus,2018,hg/ha,40387
572,Avocados,2018,hg/ha,77638
486,Bananas,2018,hg/ha,163756
44,Barley,2018,hg/ha,41637
176,"Beans, dry",2018,hg/ha,20843
414,"Beans, green",2018,hg/ha,32175
558,Berries nes,2018,hg/ha,81926
552,Blueberries,2018,hg/ha,70655
89,Buckwheat,2018,hg/ha,10511
358,Cabbages and other brassicas,2018,hg/ha,403413
426,Carrots and turnips,2018,hg/ha,463819
393,Cauliflowers and broccoli,2018,hg/ha,188649
531,Cherries,2018,hg/ha,90828
530,"Cherries, sour",2018,hg/ha,94988
191,Chick peas,2018,hg/ha,16946
689,"Chillies and peppers, dry",2018,hg/ha,27007
401,"Chillies and peppers, green",2018,hg/ha,323564
656,"Coffee, green",2018,hg/ha,7646
195,"Cow peas, dry",2018,hg/ha,19862
554,Cranberries,2018,hg/ha,254577
397,Cucumbers and gherkins,2018,hg/ha,156154
577,Dates,2018,hg/ha,70251
399,Eggplants (aubergines),2018,hg/ha,399155
569,Figs,2018,hg/ha,112675
512,"Fruit, citrus nes",2018,hg/ha,217280
619,"Fruit, fresh nes",2018,hg/ha,192407
406,Garlic,2018,hg/ha,196143
720,Ginger,2018,hg/ha,325438
507,Grapefruit (inc. pomelos),2018,hg/ha,277845
560,Grapes,2018,hg/ha,181729
242,"Groundnuts, with shell",2018,hg/ha,44732
225,"Hazelnuts, with shell",2018,hg/ha,25986
677,Hops,2018,hg/ha,21773
592,Kiwi fruit,2018,hg/ha,217300
497,Lemons and limes,2018,hg/ha,369910
201,Lentils,2018,hg/ha,13126
372,Lettuce and chicory,2018,hg/ha,314215
333,Linseed,2018,hg/ha,15168
56,Maize,2018,hg/ha,118639
446,"Maize, green",2018,hg/ha,173609
571,"Mangoes, mangosteens, guavas",2018,hg/ha,192376
568,"Melons, other (inc.cantaloupes)",2018,hg/ha,285087
79,Millet,2018,hg/ha,20010
292,Mustard seed,2018,hg/ha,8401
234,Nuts nes,2018,hg/ha,7307
75,Oats,2018,hg/ha,23274
430,Okra,2018,hg/ha,78239
260,Olives,2018,hg/ha,88069
403,"Onions, dry",2018,hg/ha,623348
490,Oranges,2018,hg/ha,234238
600,Papayas,2018,hg/ha,145586
534,Peaches and nectarines,2018,hg/ha,195547
521,Pears,2018,hg/ha,389998
187,"Peas, dry",2018,hg/ha,22099
417,"Peas, green",2018,hg/ha,43361
574,Pineapples,2018,hg/ha,276305
223,Pistachios,2018,hg/ha,41905
536,Plums and sloes,2018,hg/ha,141323
116,Potatoes,2018,hg/ha,497624
394,"Pumpkins, squash and gourds",2018,hg/ha,256117
270,Rapeseed,2018,hg/ha,20846
547,Raspberries,2018,hg/ha,145124
27,"Rice, paddy",2018,hg/ha,86211
71,Rye,2018,hg/ha,19386
280,Safflower seed,2018,hg/ha,16941
328,Seed cotton,2018,hg/ha,26821
83,Sorghum,2018,hg/ha,45266
236,Soybeans,2018,hg/ha,34681
373,Spinach,2018,hg/ha,154684
544,Strawberries,2018,hg/ha,650772
423,String beans,2018,hg/ha,89035
157,Sugar beet,2018,hg/ha,678302
156,Sugar cane,2018,hg/ha,860652
267,Sunflower seed,2018,hg/ha,19404
122,Sweet potatoes,2018,hg/ha,212510
495,"Tangerines, mandarins, clementines, satsumas",2018,hg/ha,275026
136,Taro (cocoyam),2018,hg/ha,112565
826,"Tobacco, unmanufactured",2018,hg/ha,20508
388,Tomatoes,2018,hg/ha,968079
463,"Vegetables, fresh nes",2018,hg/ha,660570
420,"Vegetables, leguminous nes",2018,hg/ha,27608
222,"Walnuts, with shell",2018,hg/ha,43297
567,Watermelons,2018,hg/ha,392851
15,Wheat,2018,hg/ha,31999
